0.12526718881159127 0.048845888184125386 0.43667452005856905 	0.11786004155874252 60.03697544336319 -0.006396546494215727	0.1252692620793745 0.04884478430949457 0.43668108533379013 
0.12524975257951 0.0488320028886875 0.4366838886987533 	0.11811414361000061 60.03593263030052 -0.0062669808976352215	0.12524975257951 0.0488320028886875 0.4366838886987533 
0.12540233171289472 0.048720830505452284 0.43667854900141156 	0.0 60.0 0.0	0.12541134270655263 0.04871879226529785 0.43667075761161434 
0.12564550742650127 0.04858137733145185 0.4366652301656424 	0.11269722878932953 60.034063179045916 -0.004297301173210144	0.12564550742650127 0.04858137733145185 0.4366652301656424 
0.12555954571089956 0.048628653503612895 0.4366675893202754 	0.0 60.0 0.0	0.12555954571089956 0.048628653503612895 0.4366675893202754 
0.1252047978037396 0.04880912716315322 0.4366831237003892 	0.09844080358743668 60.034825313836336 -0.0017393527086824179	0.1252047978037396 0.04880912716315322 0.4366831237003892 
0.12509164291644836 0.048833644910892815 0.43668273256806095 	0.10767658054828644 60.03775266185403 -0.00338628888130188	0.12509164291644836 0.048833644910892815 0.43668273256806095 
0.12502845064889812 0.0487477073095377 0.4366829190999166 	0.0 60.0 0.0	0.12502823789107254 0.048745975152904464 0.43667483718414823 
0.12505309455932334 0.04865882734642213 0.436671351184058 	0.0 60.0 0.0	0.12505309455932334 0.04865882734642213 0.436671351184058 
0.1249555509449003 0.04875295194210594 0.4366728985657691 	0.11521817743778229 60.02980315685272 -0.00545366108417511	0.12495227066403913 0.048762795512161006 0.4366815346684646 
0.12478710772312596 0.04896652235325405 0.43667797410258147 	0.10038531571626663 60.03465449437499 -0.0020084381103515625	0.12477032473672978 0.04898262984600876 0.43668528858127154 
0.12436431068978493 0.04935073350183927 0.43668781100286136 	0.0 60.0 0.0	0.12436431068978493 0.04935073350183927 0.43668781100286136 
0.12420592759659144 0.04943912456849375 0.4367003243858058 	0.11572997272014618 60.035813357681036 -0.005673065781593323	0.12420592759659144 0.04943912456849375 0.4367003243858058 
0.12414143891204077 0.04947514113671758 0.4366940358673477 	0.12289012968540192 60.03621434047818 -0.006143495440483093	0.12414252764048683 0.049472524975016086 0.4367007726437706 
0.12410581013657662 0.049467662213025676 0.4366935286252753 	0.1042548194527626 60.04159350320697 -0.0028994083404541016	0.12411079727548469 0.04946238929080238 0.4367003607434766 
0.12411967890974651 0.0494278884330015 0.43669340296250725 	0.10782517492771149 60.03775090351701 -0.0038199573755264282	0.12412895929585233 0.049419916819928744 0.4366997052245395 
0.12419088586329963 0.049330631673839775 0.43669869275206225 	0.10761348903179169 60.03673106059432 -0.003909021615982056	0.12419088586329963 0.049330631673839775 0.43669869275206225 
0.12431541673988633 0.049221663713332475 0.4366946587309449 	0.10731609910726547 60.03425361961126 -0.0044851154088974	0.12431541673988633 0.049221663713332475 0.4366946587309449 
0.12463211579988709 0.04897114277909509 0.4366793016009893 	0.0 60.0 0.0	0.12464418670223765 0.04895578070872375 0.4366886713599611 
0.12461151115657287 0.04895323521402162 0.4366893553381969 	0.0 60.0 0.0	0.12461151115657287 0.04895323521402162 0.4366893553381969 
0.1244191959030907 0.049139896660314264 0.43669434771401283 	0.07415460050106049 60.04401847720146 0.0016596163623034954	0.1244191959030907 0.049139896660314264 0.43669434771401283 
0.12420567582577746 0.049412356597905216 0.43669953083564733 	0.10539992898702621 60.03540110960603 -0.0017929673194885254	0.12420567582577746 0.049412356597905216 0.43669953083564733 
0.12398687502649608 0.0498261810066154 0.43670208480484873 	0.0 60.0 0.0	0.12398452585789954 0.049838788324976235 0.43670910787067685 
0.1239653354842325 0.050089499031251705 0.43670728129273395 	0.0 60.0 0.0	0.12397254754132447 0.050093823613948985 0.4367141162646866 
0.12418030143894754 0.050127288338586595 0.4367155589739015 	0.0 60.0 0.0	0.12418030143894754 0.050127288338586595 0.4367155589739015 
0.12434329975100411 0.05007706984462601 0.4367134378468256 	0.09051735699176788 60.04290671646595 0.001316159963607788	0.12434329975100411 0.05007706984462601 0.4367134378468256 
0.12452370508681554 0.049984213742085615 0.43670803913680256 	0.10208065062761307 60.03971157222986 -0.0033445656299591064	0.12453567029646351 0.0499766589752042 0.4367015939332437 
0.12474053923954642 0.04985088799333681 0.436704174039906 	0.1070633977651596 60.039340272545815 -0.003433466190472245	0.12476025236147947 0.0498431065304743 0.4366965927622954 
0.12500232741273365 0.04968219026994092 0.4366986687829206 	0.11794427782297134 60.0354217030108 -0.0038401633501052856	0.12501871935007003 0.04966998990619231 0.4366918620294509 
0.1252975254884099 0.04949415788215816 0.43668464391383627 	0.10159808397293091 60.04064555466175 -0.0021887721959501505	0.12531706922498032 0.049477441851252024 0.43669340224652864 
0.1253803381221985 0.049421368626958895 0.4366823714231118 	0.11848697811365128 60.03245988115668 -0.004386305809020996	0.1253811725916698 0.04941253286310143 0.4366918665241304 
0.1253269643094974 0.04947046743390615 0.43668464666004503 	0.09522920101881027 60.03599679470062 0.0009378939867019653	0.1253269643094974 0.04947046743390615 0.43668464666004503 
0.12505066786677688 0.049865410567370816 0.4366926620249288 	0.0 60.0 0.0	0.12503949082659815 0.0498847221916634 0.43669992152773807 
0.12489231223769437 0.05009674612460202 0.436706722751366 	0.11463162302970886 60.03845778107643 -0.006894230842590332	0.12489231223769437 0.05009674612460202 0.436706722751366 
0.12483500941279502 0.05024410083828457 0.4367106220705426 	0.11380171775817871 60.04266349226236 -0.005392283201217651	0.12483500941279502 0.05024410083828457 0.4367106220705426 
0.12484343530015707 0.05032777221597229 0.4367038948618072 	0.10083533078432083 60.03622753545642 -0.0010018348693847656	0.1248517553983639 0.05032998422813506 0.43671043382620717 
0.12490523773124806 0.05035355897836524 0.43670467395104745 	0.10359598696231842 60.03938728943467 -0.0008449258166365325	0.12490523773124806 0.05035355897836524 0.43670467395104745 
0.12502388324404023 0.05033200143971328 0.43670451094609497 	0.10038334131240845 60.037378676235676 -0.001157984253950417	0.12502388324404023 0.05033200143971328 0.43670451094609497 
0.12516819813128066 0.0502861427109309 0.4366984206926353 	0.10259247571229935 60.034843258559704 -0.0015648900298401713	0.12516819813128066 0.0502861427109309 0.4366984206926353 
0.12532902164316795 0.050192660608693984 0.4366981567183207 	0.09763636440038681 60.03606702387333 -0.000765398028306663	0.12534801530906847 0.0501813987700217 0.4367041514015198 
0.12551409089641297 0.05009150157261644 0.43669412862015444 	0.10377093404531479 60.03905662149191 -0.002808957826346159	0.12553744696714375 0.05007759718285598 0.4367001578348202 
0.12576183644734584 0.04992745456817005 0.43669832752892934 	0.10358534753322601 60.037136908620596 -0.0031733957584947348	0.1257805490262207 0.049919809159931106 0.4366889152249999 
0.12579091532737152 0.04993743820678276 0.4366995640086402 	0.0 60.0 0.0	0.12579091532737152 0.04993743820678276 0.4366995640086402 
0.12558739839649746 0.050131679698132814 0.43670366323763826 	0.0899047702550888 60.035230822861195 -0.0007373241242021322	0.12556683172855898 0.05015285371964495 0.4366969321998774 
